name,goals_score,goals_justification,logic_score,logic_justification,limitations_score,limitations_justification
Youth Prediction Model,2,"The goal is specific and contextualized, stating that the algorithm is used to predict the number of young people expected to use youth care in the next six years and the associated costs, to aid in policy making and long-term planning.",1,"The model type is mentioned (regression) and the performance measures (RMSE, MAE, MAPE) are stated, but there is no clear explanation of the inputs or the full process.",2,"The entry explicitly describes the measures taken to mitigate risks, such as privacy violations, and the criteria for including variables in the model. It also mentions the model's explainability as a decisive criterion."
Population forecast model,2,"The goal is specific and contextualized, aiming to understand the future development of The Hague's population by age.",2,"The process is clearly explained, detailing the steps taken to forecast the population, including the inputs, process, and model type.",1,"The risks are mentioned, stating that the results are analyzed by specialists and compared annually, but it does not specify the nature or context of potential limitations or risks."
Allocation of compulsory education officers (ALPA),2,"The goal is specific and contextualized, aiming to allocate absenteeism reports to compulsory education officers for efficient handling and minimal work stocks.",2,"The logic is clearly explained, detailing the use of rules and mixed integer linear programming to generate a work list for truancy officers and assign absence reports.",1,"The entry mentions that the model outcomes are based on assumptions and are only advisory, but it does not specify any particular risks or limitations."
Signalling abuse and improper use Wmo &amp; Jeugdwet,2,"The goal is specific and contextualized, outlining the purpose of identifying potential abuse or improper use of facilities under the Wmo and Youth Act, and the subsequent actions taken if such indications are found.",2,"The methods and models are clearly explained, detailing the use of a rule-based algorithm to run queries and compare expected values with actual values, with examples of what these comparisons might involve.",2,"The risks are explicitly described, including the limitations of the algorithm rules and the need for further investigation following any signals of abuse or improper use. It also clarifies that personal characteristics are not used in the algorithm, avoiding potential bias."
Application for benefits Assistance /Bbz Maintenance,1,"The goal is stated as standardizing the process of applying for benefits to ensure quality, which is a general purpose without a specific context or policy objective.",2,"The system's operation is clearly explained, including the input data, process, and model type. It details how the algorithm uses rules from the participation act, retrieves data from various sources, analyses it, and reports to a counsellor.",2,"The risks are explicitly described, including the design of the application form to reduce ambiguity and the periodic checks against legislation. It also mentions that the decision always lies with an employee, indicating a limitation in the algorithm's role."
Benefit calculation support,2,"The goal is specific and contextualized, stating that the algorithm is used to make correct decisions under laws and regulations for residents of The Hague who apply for or receive benefits.",2,"The methods and models field provides a clear explanation of the inputs, process, and model type, detailing how the rules in the law are translated into a rule-based algorithm and how the algorithm interacts with the Socrates system to calculate benefits.",2,"The risks field explicitly describes the process of automating the laws and regulations, the daily technical and human checks, and the traceability of adjustments made by consultants, indicating an awareness of potential limitations and risks."
Pressure measurement - counting people,2,"The goal is specific and contextualized, aiming to measure crowds without recognizing individuals or using personal data.",2,"The process is clearly explained, from the camera recording for a number of seconds, to the server counting people and deleting data, to the algorithm being trained to recognize people in different situations.",2,"The risks are explicitly described, including the potential for physical hacking, privacy concerns, and the measures taken to mitigate these risks, such as ethical impact assessments and data protection impact assessments."
Pressure measurement - group dynamics estimation,2,"The goal is specific and contextualized, aiming to efficiently enforce on crowds by recognizing whether a moving object is a human and determining their speed, then assigning a classification to the situation.",2,"The methods and models provide a clear explanation of the inputs (moving objects), process (determining if the object is a human and their speed), and model type (classification of the situation).",2,"The risks section explicitly describes that a Data Protection Impact Assessment (DPIA) has been carried out, indicating awareness of potential risks and measures taken. It also states there is no bias as dynamics are determined without preference on types of people."
Signal detention (including detention abroad),2,"The goal is specific and contextualized, outlining the purpose of identifying individuals in penitentiary institutions who are receiving social assistance benefits, so that municipalities can stop these benefits.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how information from different sources is used to identify individuals receiving benefits while in detention.",1,"The risks section mentions the concern of citizen privacy and the use of a privacy impact assessment, but it does not specify the nature or context of these risks."
Pressure measurement - blurring of the image,2,"The goal is specific and contextualized, aiming for efficient enforcement on crowds by making people unidentifiable in images.",2,"The process is clearly explained, with the algorithm recognizing people in images and covering them with an overlay to ensure unrecognizability.",2,"The risks are explicitly described, including a completed DPIA and the assurance of no bias in blurring, with the camera placement being a collaborative decision."
Grassland Mowing Monitoring,2,"The goal is specific and contextualized, aiming for more efficient and transparent monitoring of grassland mowing for the protection of bird species, with outcomes verified by policy officers and physical observations.",2,"The logic is clearly explained, detailing the use of a vegetation index calculated from satellite images, the normalised difference vegetation index (ndvi), and how it is used to detect mowing activity, with results visualized on an interactive map.",2,"The limitations are explicitly described, acknowledging the risk of 'false positive' outcomes due to potential issues with the imaging of the grassland, and explaining how this is mitigated by including multiple moments of measurement and physical observations."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, including the use of a natural language processing algorithm and proprietary AI models, and the role of human oversight.",2,"The risks are explicitly described, including the potential for human error in the final check, the privacy risk associated with using Azure, and measures taken to mitigate these risks."
Readspeaker,2,"The goal is specific and contextualized, aiming to support users with visual impairment and reading difficulties in the Netherlands by providing a reading aid on the website of the municipality of Brunssum.",1,The entry mentions the use of a deep neural network (DNN) technology but does not provide a full process description or explain the inputs.,0,No risks or limitations are mentioned in the entry.
Civil affairs: eServices,2,"The goal is specific and contextualized, explaining the importance of correct address registration and how the algorithm checks details and processes applications.",1,"The method used is mentioned (decision trees), but there is no clear explanation of inputs, process, and how the model works.",0,No limitations or risks are mentioned.
Environment: Leges calculation,2,"The goal is specific and contextualized, explaining the purpose of the algorithm in calculating municipal service fees based on base types and fee types.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing four different calculation methods and how they are applied.",1,"A risk is mentioned, but it is vague and does not specify its nature or context beyond stating that a staff member assesses the result."
Octobox Anonymisation,2,"The goal is specific and contextualized, stating that the tool is used for anonymising documents, particularly soil reports, and will later be integrated into the document management system for broader application.",1,"The tool uses natural language processing, a part of artificial intelligence, to classify texts and recognize terms, but the full process description is not provided.",2,"The risks are explicitly described, mentioning an extensive testing process and human verification to mitigate the risk of insufficient anonymisation."
Environmental Surveillance Algorithm,2,"The goal is specific and contextualized, aiming to deploy surveillance capacity to companies with high environmental relevance and likelihood of violations, and to prioritize preventive controls.",2,"The methods and models are clearly explained, detailing the use of time since last inspection, compliance data, environmental relevance data, and their conversion into weighted variables.",1,"The risks section mentions the need for user awareness and peer-review, but does not explicitly describe known risks, data biases, or contexts of inaccuracy."
Social domain: eService life maintenance applications,2,"The goal is specific and contextualized, stating that the algorithm is used for efficient and uniform intake of and decisions on applications for assistance, with clear policy objectives.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, detailing how the applicant's information is collected, compared, and presented.",2,"The risks section explicitly describes a known risk, that an applicant might not submit an application due to expectations raised by the system, and how this risk is mitigated."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, the use of a natural language processing algorithm, and the involvement of human oversight.",2,"The risks are explicitly described, including the potential for employee error, privacy risks associated with using Azure, and measures taken to mitigate these risks."
Intelligent traffic control installation (iVRI) and/or -VRI-ready,2,"The goal is specific and contextualized, aiming to prioritize certain traffic flows over others for efficient traffic management at busy intersections.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",0,"The 'Risks' field is blank, providing no mention of any limitations or risks."
Scan car license plate recognition,2,"The goal is specific and contextualized, stating that the algorithm is used for recognizing license plates of vehicles that are in violation for after-tax parking tax.",1,"The entry mentions the use of a camera to scan license plates and the combination of data from various sources to determine wrong parking, but it does not provide a full process description or specify the model type.",0,"The entry states that the risk is seen as zero due to human intervention, but it does not mention any specific limitations, data biases, or contexts of inaccuracy."
Civil Affairs Staff Scheduling Algorithm,2,"The goal is specific and contextualized, aiming to better schedule civil affairs staff to handle expected peak times, taking into account training periods and supporting financial planning.",2,"The algorithm's logic is clearly explained, detailing the inputs (various processes and products at civil affairs), the process (forecasting expected issues of various documents and events, and calculating expected capacity utilization), and the model type (a forecasting model based on past data and trends).",2,"The limitations are explicitly described, acknowledging the risk of incorrect forecasts leading to over- or under-staffing and budget inaccuracies, and emphasizing the importance of correct data."
Traffic control installation,2,"The goal is specific and contextualized, aiming to improve road safety, traffic flow, and accessibility for all road users.",2,"The system's operation is clearly explained, from the detection of traffic through loops in the road to the decision-making process for changing traffic light colors.",1,"While the system's safety measures and data anonymity are mentioned, there is no explicit description of known risks, data biases, or contexts of inaccuracy."
Traffic Control Algorithm,1,"The goal of testing and controlling traffic schemes is stated, but lacks specific context or policy objective.",1,"The process of data collection from traffic lights and translation into information is mentioned, but lacks a full process description and model type.",0,"The entry only mentions compliance with legislation, but does not mention any risks or limitations of the algorithm itself."
Filtering on signal ability enforcement income support,2,"The goal is specific and contextualized, aiming to support the enforcement of the participation act and prevent undue checks on residents, thereby minimizing the impact on citizens.",2,"The process is clearly explained, from receiving signals about assets, to sending citizen service numbers to the Inlichtingenbureau Foundation, to retrieving information from the tax office, to applying filters to the returned list.",1,"The risks section mentions the four-eye principle and the possibility of appeal, but does not explicitly describe known risks, data biases, or contexts of inaccuracy."
Driving fitness assessment support,2,"The goal is specific and contextualized, outlining the process of assessing driving suitability based on medical data and regulations, with clear policy objectives.",1,"The methods and models field mentions the use of decision trees and matrix diagrams, but does not provide a full process description or explain the inputs.",2,"The risks field explicitly describes the potential for errors in the algorithm leading to incorrect referrals or decisions, and outlines measures taken to prevent and correct such errors."
Anonymisation tool,2,"The goal is specific and contextualized, stating that the software is used for transparency and protection of individuals and companies in document handling.",2,"The methods and models field provides a clear explanation of the inputs, process, and model type, including pattern recognition and natural language processing for anonymization.",1,"The risks field mentions a 'low impact' risk, but does not specify its nature or context."
Readspeaker,2,"The goal is specific and contextualized, aiming to support users with visual impairment and reading difficulties in the Netherlands by providing a reading aid with multiple functionalities.",1,"The system uses a deep neural network (DNN) technology, but a full process description including inputs and how the DNN is used is not provided.",0,No risks or limitations are mentioned in the entry.
Anonymisation tool,1,The goal is stated as 'masking of personal data' but lacks specific context or policy objective.,0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",1,The risk is mentioned as 'low risk' but without specifying its nature or context.
Unnamed Algorithm,2,"The goal is specific and contextualized, outlining the purpose of the algorithm to provide support to residents and entrepreneurs in submitting digital applications, and detailing the process of how the algorithm interacts with the applications.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",0,"The 'Risks' field is blank, with no limitations or risks mentioned."
Taxes: Calculation of local tax amount,2,"The goal is specific and contextualized, with a clear policy objective of efficiently and uniformly calculating tax amounts.",2,"The methods and models field provides a clear explanation of inputs, process, and model type, detailing a calculation rule that multiplies a yardstick by a rate.",0,"The risks field simply states 'no', indicating no limitations or risks were mentioned."
Virtual municipality assistant Gem,2,"The goal is specific and contextualized, aiming to understand residents and help them get the right answer, either through direct answers, referrals, or transfers to a live chat employee.",2,"The logic is clearly explained, detailing the use of artificial intelligence, specifically supervised machine learning, to provide the best answer from a library of answers based on the question asked. It also explains the process of feedback and improvement.",1,"The risks are mentioned, stating that Gem is a generic application and that user feedback is monitored, but it does not specify the nature or context of these risks or limitations."
Bank statement tool,2,"The goal is specific and contextualized, stating that the tool is used to recognize categories in expenses to better control legitimate disbursement of benefits.",2,"The logic is clearly explained, stating that the algorithm recognizes terms in the statements and converts them into a CSV file for an overview of expenditure categories.",1,"A limitation is mentioned, that humans make the judgement and the tool only categorizes expenditures, but it is not explicitly described how this could be a risk or bias."
Kliko control BAT,2,"The goal is specific and contextualized, stating that the algorithm checks if the wheelie bin is in use at addresses where benefits are provided.",1,"The algorithm's process is partially explained, mentioning that it compares click solicitations at addresses where benefits are provided, but it lacks a full process description.",2,"The risks are explicitly described, mentioning sensitivity to bypassing or alternative waste disposal, which can lead to false signals about unoccupied houses."
Monitor Care Providers,2,The goal is specific and contextualized with a clear policy objective: to ensure that the money paid to healthcare providers is actually spent on care.,0,"The 'Methods and Models' field only states 'not self-learning', which does not provide any explanation of how the system works or any details about the input data or model type.",2,"The 'Risks' field explicitly describes a known risk: the algorithm looks at annual accounts of sole traders. It also explains how this risk is mitigated, providing context for the limitation."
Monitor Single benefit,2,"The goal is specific and contextualized, stating that the algorithm is used to identify potential unlawful provision of benefits, which may trigger an investigation.",2,"The logic is clearly explained, stating that the algorithm compares whether a benefit is provided to a resident and if there has been a birth declaration by the same resident.",0,"No specific limitations or risks are mentioned, only a general statement that the algorithm does not deviate from work otherwise performed based on the statutory task."
Referral index applications 2.0,2,"The goal is specific and contextualized, aiming to provide customised services to residents based on signals from various systems within the municipality.",0,"The 'Methods and Models' field only states 'non-self-learning' without any explanation of inputs, process, or model type.",2,The 'Risks' field explicitly describes the limitations related to privacy and the necessity of risk assessment for each execution of the algorithm within the municipal systems.
License plate recognition,2,"The goal is specific and contextualized with a clear policy objective, which is to enforce the rules adopted by the council about vehicles in the town centre shop inner area.",0,"The 'Methods and Models' field does not provide any explanation of how the system works or any details about the process or model type, it only states 'not self-learning'.",0,"The 'Risks' field is blank, hence no limitations or risks are mentioned."
Making Anonymous Reports public space,2,"The goal is specific and contextualized, aiming to protect residents' privacy by removing them from images in public space reports in Tilburg municipality.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",2,"The risks are explicitly described, acknowledging that the algorithm may miss some things when anonymising people and vehicles, which may still be visible on images in public space reports."
Anonymise,2,"The goal is specific and contextualized, stating that the algorithm is used to anonymise privacy-sensitive information in information objects to protect personal information and preserve privacy.",1,"The method is mentioned as neural network models that determine privacy-sensitive information in both visual and textual ways, but the full process description is not provided.",2,"The risks are explicitly described, mentioning the constant evaluation and updates to address new threats and privacy challenges, human oversight and intervention, and continuous dialogue with stakeholders."
Authentication Biometrics,2,"The goal is specific and contextualized, stating that the algorithm is used by Tilburg municipality to verify the identity of residents to provide accurate services.",0,"The 'methods_and_models' field only states 'not self-learning', which does not provide any explanation of how the system works or what it uses.",2,"The 'risks' field explicitly describes a known risk, which is the problems that arise when incorrect data is processed and a resident needs to identify himself at agencies worldwide."
Addresses In Order,1,"The goal mentions the general purpose of registering people in the basic registration of persons (brp) and the importance of correct data, but it does not specify a clear policy objective.",0,"The 'methods_and_models' field only states 'not self-learning', which does not provide any explanation of how the system works or any details about the process or model type.",1,"The 'risks' field mentions privacy data protection and legal framework, but it does not specify any particular risks, data biases, or contexts of inaccuracy."
Robot process automation in the WOZ objection (chain) process,2,"The goal is specific and contextualized, aiming to reduce processing times of WOZ objections using RPA, automate repetitive tasks, manage increasing workload, and reduce the need for external staff.",2,"The logic is clearly explained, detailing the process from receiving objections, entering them into applications, linking objections to codes, and using administrative robots for further processing. The method used is Robotic Process Automation (RPA), which is rule-based and does not involve any embedded intelligence.",1,"The risks are mentioned, such as the algorithm failing to recognize a citizen or fully process an objection letter, but the nature or context of these risks is not explicitly described."
Document verification,2,"The goal is clearly stated with a specific purpose and context, which is to speed up the verification of authenticity and formatting of source documents, support document experts by indicating discrepancies, and keep notes on the checked source documents.",2,"The logic is well explained with clear inputs, process, and model type. It uses a vgg16 neural network trained on features of document data, scans the source documents, and makes a decision based on the response from the neural network.",2,"The limitations are explicitly described. The algorithm's decisions are manually checked by document experts, who remain responsible for the final decision. The algorithm's potential for making wrong decisions is acknowledged and corrected manually."
Dynamic Monitoring,2,"The goal is specific and contextualized, outlining the use of the algorithm to monitor outstanding debts and agreements, and to prioritize recovery efforts based on efficiency and potential income or property.",2,"The logic is clearly explained, detailing the use of decision rules in three algorithms to estimate the effectiveness of telephone contact, monitor potential income or property of debtors, and track agreements made.",2,"The limitations are explicitly described, including the adherence to a quality framework and data minimisation principles, the need for regular checks on data necessity, and the avoidance of prohibited profiling."
Payment scheme Citizen (BrB),2,"The goal is specific and contextualized, outlining the purpose of the algorithm in assessing deferral requests based on factors like payment capacity and previous behavior.",2,"The logic is clearly explained, detailing the decision rules used by the algorithm, the process of assessment, and the fact that the algorithm is not self-learning.",2,"The limitations are explicitly described, including the internal development and maintenance of the algorithm, the quality framework and conditions followed, data minimization, and the avoidance of improper profiling."
Chain Liability Act (WKA),2,"The goal is specific and contextualized, explaining the purpose of the Chain Liability Act (WKA) and how it is used to ensure reliability of subcontractors, with a clear policy objective.",2,"The logic is clearly explained, detailing the decision rules used by the algorithm, the process of application handling, and the fact that the algorithm is not self-learning.",2,"The limitations are explicitly described, including the internal development and maintenance of the algorithm, the quality framework and conditions followed, data minimisation, and the avoidance of profiling."
Camera identification,2,The goal is specific and contextualized with a clear policy objective: to identify the type of camera used to take images for use in criminal investigations.,2,"The process is clearly explained, from the input of images or video footage, to the extraction and comparison of noise patterns, to the use of the photo response non-uniformity pattern to identify the camera.",0,"The 'risks' field only mentions that the software is available to LEA organizations, but does not identify any limitations, risks, or potential biases."
Automatic face comparison,2,"The goal is specific and contextualized, stating that the algorithm is used to support expert decisions and make the final judgment more objective in facial image comparisons.",2,"The process is clearly explained, from presenting the disputed and reference images to the software, to the extraction of facial features and determination of similarity, and finally the interpretation of the score by experts.",0,"No limitations or risks are mentioned, the 'Risks' field only states 'specification follows' without any further information."
Process Knowledge Support - Social Domain,2,"The goal is specific and contextualized, with a clear policy objective of processing and deciding on various types of assistance applications.",2,"The system's logic is clearly explained, including the use of PKO knowledge systems, the translation of complex decision processes into simple dialogues, and the generation of legally correct decisions.",1,"The risks are mentioned, but only vaguely, stating that there is always a check by the staff member and the possibility to ask for explanations or object to a decision."
Centric Environment: Charges calculation,2,"The goal is specific and contextualized, explaining that the system is used to process permit applications and calculate fees for municipal services.",1,"The system's process is partially explained, mentioning that it calculates fees based on application data, but it does not detail the type of model used or the specific inputs.",1,A risk is mentioned - the possibility of erroneous dues amounts - but it is dismissed without further explanation or context.
"Information extraction from, and classification of, notarial deeds (DNI)",2,"The goal is specific and contextualized, stating that the system is used for supervising the registration of notarial deeds and for levying and collecting taxes such as inheritance, gift, and transfer taxes.",2,"The system's logic is clearly explained, detailing two algorithms used in one logical context, their functions, and the type of information they extract from deeds.",2,"The risks and limitations are explicitly described, mentioning compliance with the general data protection regulation, quality checks, and the absence of direct discrimination in the use of algorithms."
Centric: taxes,2,"The goal is specific and contextualized, with a clear policy objective of calculating tax amounts efficiently and uniformly.",2,"The methods and models are clearly explained, including the inputs (yardstick and rate), process (multiplication or graduated approach), and model type (calculation rule).",0,"The entry states there are no risks with this algorithm, which does not acknowledge any potential limitations or biases."
Calculating the WOZ value,1,"The goal mentions a general purpose of automating work processes and supporting in the valuation process for implementing the woz act, but lacks specific context or policy objective.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",0,"The 'Risks' field is blank, indicating no limitations or risks were mentioned."
Unnamed,0,The 'goal' field is blank.,0,The 'methods_and_models' field is blank.,0,The 'risks' field is blank.
Not provided,0,The 'goal' field is blank.,0,The 'methods_and_models' field is blank.,0,The 'risks' field is blank.
Not provided,0,The 'goal' field is blank.,0,The 'methods_and_models' field is blank.,0,The 'risks' field is blank.
Not provided,0,The 'goal' field is blank.,0,The 'methods_and_models' field is blank.,0,The 'risks' field is blank.
Algorithm recognises and anonymises personal and financial data in documents for publication,2,"The goal is specific and contextualized, stating that the software is used for transparency and protection of individuals and companies in document-related matters.",2,"The logic is clearly explained, detailing the use of smart features, pattern recognition, and natural language processing to anonymize documents, with the ability to adjust the method and degree of anonymization.",2,"The limitations are explicitly described, stating that fully automated anonymization is considered too risky, hence the final decision is left to a human."
Readspeaker,2,"The goal is specific and contextualized, aiming to support users with visual impairment and reading difficulties in the Netherlands by providing a reading aid on the Oirschot municipality's website.",1,"The system uses a deep neural network (DNN) technology to improve voice quality, but a full process description including inputs and model type is not provided.",0,No limitations or risks are mentioned in the entry.
Allocation of Individual Income Supplement,2,"The goal is specific and contextualized, aiming to provide low-income residents with their supplement with minimal administrative burden by reusing known data.",2,"The process is clearly explained, detailing how the algorithm checks if residents meet the conditions to receive the supplement and how it categorizes residents based on entitlement.",2,"The risks are explicitly described, including the potential for residents to receive incorrect allowances and how these risks are mitigated through manual checks and procedures."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to prevent unintentional sharing or disclosure of personal or confidential data.",2,"The methods and models section provides a clear explanation of the inputs, process, and model type, including the use of a natural language processing algorithm and proprietary AI models, as well as the specific datasets used for training.",2,"The risks section explicitly describes known risks, such as the potential for employees to not check properly and the privacy risk of using Azure, and how these risks are mitigated."
Social domain: eServices for applications,2,"The goal is specific and contextualized, stating the purpose of the algorithm in the application process for various assistance schemes and how it checks for applicant eligibility.",1,"The method used is mentioned (decision trees), but there is no detailed explanation of the inputs, process, or how the decision trees are used.",2,"The risks are explicitly described, including the potential for an applicant to not submit an application due to expectations set by the system, and how this risk is mitigated."
Transcription platform Transkribus,2,"The goal is specific and contextualized, aiming to make historical handwritten documents digitally accessible and searchable for researchers and other interested parties.",2,"The methods and models are clearly explained, detailing the use of machine learning, handwritten text recognition techniques, and specific AI models like convolutional and transformer neural networks.",1,"The risks are mentioned as being low and some context is provided about data handling and compliance, but no specific limitations or potential biases of the system are described."
Fast ID line,1,"The goal is stated in a general manner, indicating that the system is used to aid in criminal investigations, but it lacks a specific policy objective.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",0,"The 'Risks' field is blank, indicating no known limitations or risks."
Automatic speaker comparison,2,"The goal is specific and contextualized, stating that the algorithm is used to support decisions made by experts in trace investigation and to make the final verdict more objective.",0,"The methods and models field does not provide any explanation of how the system works, instead it refers to an external link.",0,No limitations or risks are mentioned in the risks field.
Schouwbrief generator,2,"The goal is specific and contextualized, stating the purpose is to find out the address details of a specific cadastral parcel and notify the right person or organization when there is a violation during a survey.",2,"The logic is clearly explained, detailing the use of an app to record locations, the linking of these locations to cadastral parcels, and the retrieval of information from the BRP and NHR to identify the user of the parcel.",2,"The limitations are explicitly described, acknowledging the risk of outdated data in the basic registries and explaining the feedback mechanism in place to correct any errors or outdated information."
Dutch Algorithm Register Entry,2,"The goal is specific and contextualized, aiming to understand citizens' thoughts on water board issues to adjust communication strategies or working methods.",1,"The method is mentioned as a third-party SaaS application, but there is no clear explanation of inputs, process, and model type.",0,No risks or limitations are mentioned in the entry.
Social Domain: PKO Knowledge Systems,2,"The goal is specific and contextualized, detailing the purpose of the algorithm in processing applications, mutations, and reexaminations for various forms of assistance and ensuring legal criteria are met.",2,"The methods and models section provides a clear explanation of the process, inputs, and model type, detailing how the PKO knowledge systems translate complex decision processes into simple dialogues and record the collected data.",0,"No risks or limitations are mentioned, with the text stating that there are no foreseen risks when using the algorithms defined in the decision trees."
Common topics in case system,0,"The goal field is blank, so no purpose is stated.",2,"The methods and models field provides a clear explanation of the inputs, process, and model type, including anonymization, use of a thesaurus, and manual review.",1,"The risks field mentions a limitation related to privacy, but does not specify its nature or context."
Number plate recognition car-free city centre,2,"The goal is specific and contextualized, stating that the algorithm is used for enforcing the downtown's closed zone for vehicles.",1,"The method used is mentioned (neural network), but there is no clear explanation of inputs, process, and model type.",0,No limitations or risks are mentioned.
Anonymisation tool,2,"The goal is specific and contextualized, stating that the software is used for transparency and protection of individuals and companies by searching and masking personal and confidential data in documents.",1,"The methods and models field mentions the use of natural language processing and named entity recognition, but does not provide a full process description.",0,No risks or limitations are mentioned in the entry.
Automated face comparison,2,"The goal is specific and contextualized, outlining the purpose of preventing identity fraud and maintaining reliable information in the basic registration of persons.",2,"The logic is clearly explained, mentioning the use of a neural network, advanced face recognition APIs, and tools for biometric evaluations, including the process of 'identification match' views and 'similarity matrix' data generation.",2,"The limitations are explicitly described, mentioning the risk of potential profiling and automated decision-making, and how these risks are mitigated by human verification."
Recognise names and personal data in case descriptions from the case system,2,"The goal is specific and contextualized, aiming to prevent other models from learning from individuals' data by masking them using an existing recognition algorithm.",1,"The method is mentioned as recognising names using an existing neural network, but the full process and inputs are not described.",0,No risks or limitations are mentioned.
Reporting AOW recipients with AIO,2,"The goal is specific and contextualized, aiming to identify citizens with incomplete state pension benefits who may be entitled to special assistance, and ensuring that each municipality only receives data on its own residents.",2,"The process is clearly explained, detailing how the algorithm uses municipality codes to split the source file into smaller files per municipality, and the types of data passed on are explicitly listed.",1,"The risk of citizen privacy is mentioned, but the nature or context of this risk is not specified, only that it is periodically checked through a privacy impact assessment."
Zivver,2,"The goal is specific and contextualized, detailing the purpose of the algorithm to secure the sending of emails and alert senders of sensitive information.",2,"The logic is clearly explained, detailing the inputs (terms in the message and attachments), the process (comparison with previously sent emails and classification based on terminology), and the model type (recommendation system).",1,"The risks are mentioned, noting that the algorithm's performance is monitored and adjustments can be made if incorrect classifications occur frequently, but it does not explicitly describe known risks, data biases, or contexts of inaccuracy."
Population-based child scheme,2,"The goal is specific and contextualized, aiming to identify eligible (foster) children for the allowance from the child scheme, with a clear policy objective of efficient, accurate, and consistent recognition of these children.",2,"The methods and models provide a clear explanation of the inputs, process, and model type, detailing the steps the algorithm takes to create a dataset of eligible (foster) children and how it supplements this data for implementation.",2,"The risks section explicitly describes the safeguards in place for the development of the algorithm, the measures taken to ensure compliance with laws and regulations, and the steps taken to protect privacy and prevent unauthorized profiling."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation, the use of a natural language processing algorithm, and the involvement of a staff member for final checks.",2,"The limitations are explicitly described, including the risk of employees not checking properly, the privacy risk of using Azure, and measures taken to mitigate these risks."
BIG re-registration selection model,2,"The goal is specific and contextualized, aiming to select applications that have a high probability of not meeting legal requirements while reducing administrative burden for compliant applicants.",2,"The system's logic is clearly explained, detailing the use of decision trees classifier, the process of decision-making, and the parameters that can be adjusted in the algorithm.",2,"The entry explicitly describes several risks and limitations, including potential for direct and indirect discrimination, the risk of the algorithm becoming self-validating, and the need for explainability."
Allocation of Additional Earnings Reward,2,"The goal is specific and contextualized, outlining a clear policy objective of rewarding part-time work for residents on welfare benefits in the municipality of Arnhem.",1,"The method mentions input data (financial data around income and welfare benefits) and a formula for calculating additional earnings, but does not provide a full process description or specify the model type.",1,"The risks section mentions that there are no risks for the resident and that the results are always checked by an official, but it does not specify any potential limitations or contexts of inaccuracy."
Covid-19 model,2,"The goal is specific and contextualized with a clear policy objective, which is to project the number of ICU admissions per day with Covid-19 during the pandemic.",0,"The 'Methods and Models' field is blank, providing no explanation of how the system works.",0,"The 'Risks' field is blank, meaning no limitations or risks are mentioned."
Virtual assistant Gem,2,"The goal is specific and contextualized, aiming to understand residents and provide them with the right answers or referrals, using nationally determined answers to citizen and business questions.",2,"The logic is clearly explained, detailing the use of artificial intelligence and supervised machine learning to select the best answer from a library based on the question, with the system learning from user feedback.",1,"A limitation is mentioned in that Gem is a generic application and relies on local employees to ensure answers fit the local situation, but the nature or context of this limitation is not fully explained."
Anonymisation software,2,"The goal is specific and contextualized, stating that the software is used to anonymise documents published by the municipality to prevent data leaks and protect data subjects' rights.",2,"The logic is clearly explained, detailing the process from document upload to anonymisation using a natural language processing algorithm and proprietary AI models, including the handling of metadata and data storage.",2,"The risks are explicitly described, including the potential for improper employee checks, privacy risks associated with using Azure, and measures taken to mitigate these risks."
Email security,2,"The goal is clearly stated with a specific context and policy objective, which is to ensure that information sent by email is properly secured by alerting senders to sensitive information and encouraging secure sending methods.",2,"The logic is clearly explained with inputs (terms in the message and attachments), process (comparison with previously sent emails and classification based on terminology), and model type (recommendation system).",1,"The risks are mentioned, specifically the possibility of incorrect classifications, but the nature or context of these risks is not explicitly described."
